pT,Events,,Interval,,Events
26.17260788,19020.61856,,25,27.5,15928
28.61163227,16649.48454,,27.5,30,14021
32.55159475,13092.78351,,30,35,11237
36.1163227,11391.75258,,35,37.5,9845
38.74296435,10773.19588,,37.5,40,9381
40.99437148,10103.09278,,40,42.5,8866
44.93433396,8969.072165,,42.5,47.5,7938
48.68667917,8144.329897,,47.5,50,7216
52.43902439,7577.319588,,50,55,6701
57.50469043,6701.030928,,55,60,6031
62.57035647,6185.56701,,60,65,5515
67.63602251,5618.556701,,65,70,5052
72.51407129,5103.092784,,70,75,4588
78.89305816,4484.536082,,75,82.5,4072
87.3358349,3659.793814,,82.5,92.5,3299
98.96810507,2783.505155,,92.5,105,2474
114.3527205,1958.762887,,105,122.5,1753
138.7429644,2525.773196,,122.5,155,2165
26.36022514,3092.783505,,,,
28.61163227,2628.865979,,,,
32.36397749,1855.670103,,,,
36.1163227,1546.391753,,,,
38.74296435,1391.752577,,,,
41.18198874,1237.113402,,,,
44.93433396,1030.927835,,,,
48.68667917,927.8350515,,,,
52.43902439,876.2886598,,,,
57.12945591,670.1030928,,,,
62.38273921,670.1030928,,,,
67.44840525,567.0103093,,,,
72.51407129,515.4639175,,,,
78.89305816,412.371134,,,,
87.52345216,360.8247423,,,,
98.59287054,309.2783505,,,,
113.7898687,206.185567,,,,
138.5553471,360.8247423,,,,
