eta,Events,,Inverval,,Events
-2.454545455,6060.606061,,-2.5,-2.4,4697
-2.350649351,7727.272727,,-2.4,-2.3,6061
-2.246753247,9090.909091,,-2.3,-2.2,7424
-2.149350649,10303.0303,,-2.2,-2.1,8636
-2.051948052,12121.21212,,-2.1,-2,10152
-1.948051948,13636.36364,,-2,-1.9,11970
-1.850649351,15757.57576,,-1.9,-1.8,13333
-1.746753247,18333.33333,,-1.8,-1.7,15455
-1.655844156,19848.48485,,-1.7,-1.6,16818
-1.551948052,23030.30303,,-1.6,-1.5,19697
-1.454545455,23636.36364,,-1.5,-1.4,20455
-1.350649351,27727.27273,,-1.4,-1.3,23788
-1.253246753,30757.57576,,-1.3,-1.2,26667
-1.149350649,32424.24242,,-1.2,-1.1,28182
-1.051948052,34393.93939,,-1.1,-1,30606
-0.9545454545,35454.54545,,-1,-0.9,31212
-0.8506493506,37878.78788,,-0.9,-0.8,33485
-0.7532467532,39242.42424,,-0.8,-0.7,34697
-0.6558441558,41515.15152,,-0.7,-0.6,36818
-0.5519480519,42575.75758,,-0.6,-0.5,37727
-0.4545454545,43484.84848,,-0.5,-0.4,38636
-0.3506493506,44242.42424,,-0.4,-0.3,39242
-0.2532467532,45454.54545,,-0.3,-0.2,40303
-0.1493506494,45909.09091,,-0.2,-0.1,40606
-0.05194805195,46363.63636,,-0.1,0,40909
0.04545454545,45606.06061,,0,0.1,41061
0.1493506494,45909.09091,,0.1,0.2,40758
0.2467532468,45454.54545,,0.2,0.3,40455
0.3506493506,44090.90909,,0.3,0.4,39394
0.4480519481,43484.84848,,0.4,0.5,38636
0.5454545455,43030.30303,,0.5,0.6,38030
0.6493506494,41515.15152,,0.6,0.7,36515
0.7467532468,39545.45455,,0.7,0.8,35303
0.8506493506,38333.33333,,0.8,0.9,33636
0.9480519481,35909.09091,,0.9,1,31212
1.051948052,34545.45455,,1,1.1,30606
1.149350649,32424.24242,,1.1,1.2,28333
1.253246753,30454.54545,,1.2,1.3,26667
1.344155844,27575.75758,,1.3,1.4,23939
1.448051948,23939.39394,,1.4,1.5,20455
1.545454545,23333.33333,,1.5,1.6,19848
1.649350649,19696.9697,,1.6,1.7,16970
1.753246753,17575.75758,,1.7,1.8,15303
1.850649351,15454.54545,,1.8,1.9,13182
1.948051948,13333.33333,,1.9,2,11515
2.045454545,11666.66667,,2,2.1,9848
2.149350649,10303.0303,,2.1,2.2,8636
2.253246753,9090.909091,,2.2,2.3,7576
2.344155844,7727.272727,,2.3,2.4,6212
2.448051948,6060.606061,,2.4,2.5,4848
-2.454545455,1363.636364,,,,
-2.350649351,1666.666667,,,,
-2.253246753,1666.666667,,,,
-2.149350649,1666.666667,,,,
-2.058441558,1969.69697,,,,
-1.948051948,1666.666667,,,,
-1.850649351,2424.242424,,,,
-1.746753247,2878.787879,,,,
-1.662337662,3030.30303,,,,
-1.551948052,3333.333333,,,,
-1.454545455,3181.818182,,,,
-1.350649351,3939.393939,,,,
-1.253246753,4090.909091,,,,
-1.149350649,4242.424242,,,,
-1.051948052,3787.878788,,,,
-0.9545454545,4242.424242,,,,
-0.8571428571,4393.939394,,,,
-0.7532467532,4545.454545,,,,
-0.6623376623,4696.969697,,,,
-0.5584415584,4848.484848,,,,
-0.4545454545,4848.484848,,,,
-0.3571428571,5000,,,,
-0.2532467532,5151.515152,,,,
-0.1428571429,5303.030303,,,,
-0.05194805195,5454.545455,,,,
0.05844155844,4545.454545,,,,
0.1493506494,5151.515152,,,,
0.2467532468,5000,,,,
0.3506493506,4696.969697,,,,
0.4415584416,4848.484848,,,,
0.5454545455,5000,,,,
0.6428571429,5000,,,,
0.7597402597,4242.424242,,,,
0.8376623377,4696.969697,,,,
0.9480519481,4696.969697,,,,
1.045454545,3939.393939,,,,
1.12987013,4090.909091,,,,
1.246753247,3787.878788,,,,
1.344155844,3636.363636,,,,
1.448051948,3484.848485,,,,
1.545454545,3484.848485,,,,
1.642857143,2727.272727,,,,
1.733766234,2272.727273,,,,
1.844155844,2272.727273,,,,
1.948051948,1818.181818,,,,
2.051948052,1818.181818,,,,
2.155844156,1666.666667,,,,
2.233766234,1515.151515,,,,
2.337662338,1515.151515,,,,
2.454545455,1212.121212,,,,
