eta,Events,,Interval,,Events
-2.376963351,341.8259023,,-2.5,-2.25,202
-2.118673647,585.9872611,,-2.25,-2,403
-1.881326353,936.3057325,,-2,-1.75,722
-1.616055846,1222.929936,,-1.75,-1.5,934
-1.371727749,1307.855626,,-1.5,-1.25,1062
-1.120418848,2050.955414,,-1.25,-1,1635
-0.8691099476,2167.728238,,-1,-0.75,1826
-0.6247818499,2624.203822,,-0.75,-0.5,2219
-0.3664921466,3080.679406,,-0.5,-0.25,2580
-0.1151832461,2624.203822,,-0.25,0,2219
0.1221640489,2719.745223,,0,0.25,2293
0.3664921466,2932.059448,,0.25,0.5,2505
0.6247818499,2666.666667,,0.5,0.75,2261
0.8691099476,2199.575372,,0.75,1,1826
1.120418848,1944.798301,,1,1.25,1603
1.371727749,1201.698514,,1.25,1.5,1008
1.630017452,1148.619958,,1.5,1.75,913
1.87434555,936.3057325,,1.75,2,732
2.12565445,564.7558386,,2,2.25,414
2.369982548,309.9787686,,2.25,2.5,191
-2.383944154,140.1273885,,,,
-2.12565445,182.5902335,,,,
-1.87434555,214.4373673,,,,
-1.623036649,288.7473461,,,,
-1.371727749,246.2845011,,,,
-1.120418848,416.1358811,,,,
-0.8760907504,341.8259023,,,,
-0.6247818499,405.5201699,,,,
-0.3734729494,501.0615711,,,,
-0.1221640489,405.5201699,,,,
0.1151832461,426.7515924,,,,
0.3734729494,426.7515924,,,,
0.6387434555,405.5201699,,,,
0.8760907504,373.6730361,,,,
1.134380454,341.8259023,,,,
1.378708551,193.2059448,,,,
1.623036649,235.6687898,,,,
1.867364747,203.8216561,,,,
2.118673647,150.7430998,,,,
2.369982548,118.895966,,,,
