pT,Events,,Interval,,Events
36.05442177,71.73594132,,25,50,60
63.26530612,61.7603912,,50,75,52
88.43537415,49.82885086,,75,100,42
112.9251701,39.46210269,,100,125,33
138.0952381,30.07334963,,125,150,26
161.2244898,22.83618582,,150,175,19
187.0748299,17.16381418,,175,200,14
212.244898,12.46943765,,200,225,10
238.0952381,9.339853301,,225,250,7
261.9047619,6.014669927,,250,275.5,4
285.7142857,4.841075795,,275,300,3
312.244898,3.080684597,,300,325,2
336.7346939,1.907090465,,325,350,1
371.4285714,1.515892421,,350,375,1
395.2380952,1.124694377,,375,400,0
421.0884354,0.7334963325,,400,425,0
447.6190476,0.5378973105,,425,450,0
470.0680272,0.5378973105,,450,475,1
495.2380952,1.515892421,,475,500,0
39.45578231,11.49144254,,,,
62.58503401,9.926650367,,,,
88.43537415,8.166259169,,,,
112.9251701,6.797066015,,,,
138.7755102,4.449877751,,,,
163.2653061,3.667481663,,,,
187.0748299,3.080684597,,,,
210.2040816,2.298288509,,,,
237.414966,2.298288509,,,,
261.9047619,1.907090465,,,,
286.3945578,1.515892421,,,,
312.244898,0.9290953545,,,,
330.6122449,0.7334963325,,,,
353.0612245,0.7334963325,,,,
385.7142857,0.9290953545,,,,
410.2040816,0.5378973105,,,,
434.6938776,0.3422982885,,,,
458.5034014,-0.0488997555,,,,
480.952381,1.124694377,,,,
