pT,Events,,Interval,,Events
27.5,2815.384615,,25,30,2285
32.5,2753.846154,,30,35,2331
37.5,2553.846154,,35,40,2238
42.35294118,2307.692308,,40,45,2046
47.35294118,2076.923077,,45,50,1846
52.35294118,1907.692308,,50,55,1700
57.35294118,1715.384615,,55,60,1531
62.35294118,1546.153846,,60,65,1385
67.35294118,1369.230769,,65,70,1223
74.85294118,1115.384615,,70,80,992
84.85294118,838.4615385,,80,90,746
95,630.7692308,,90,100,554
112.5,800,,100,125,700
27.20588235,530.7692308,,,,
32.35294118,423.0769231,,,,
37.5,315.3846154,,,,
42.35294118,261.5384615,,,,
47.35294118,230.7692308,,,,
52.35294118,207.6923077,,,,
57.35294118,184.6153846,,,,
62.35294118,161.5384615,,,,
67.5,146.1538462,,,,
74.85294118,123.0769231,,,,
84.85294118,92.30769231,,,,
95,76.92307692,,,,
112.5,100,,,,
