GeV,Events,,Interval,,Events
3.079178886,192.6713948,,0,5,142
7.771260997,561.465721,,5,10,426
12.75659824,887.7068558,,10,15,695
17.74193548,1190.307329,,15,20,936
22.72727273,1421.985816,,20,25,1149
28.0058651,1587.470449,,25,30,1319
32.69794721,1677.304965,,30,35,1428
37.68328446,1748.22695,,35,40,1504
42.6686217,1734.042553,,40,45,1513
47.94721408,1686.761229,,45,50,1499
52.63929619,1634.751773,,50,55,1452
57.62463343,1521.276596,,55,60,1371
62.60997067,1398.345154,,60,65,1262
67.59530792,1270.685579,,65,70,1154
72.58064516,1143.026005,,70,75,1040
77.27272727,1020.094563,,75,80,922
82.55131965,901.891253,,80,85,823
87.53665689,797.8723404,,85,90,728
92.52199413,708.0378251,,90,95,648
97.50733138,613.4751773,,95,100,563
102.4926686,537.8250591,,100,105,492
107.4780059,471.6312057,,105,110,435
112.7565982,419.6217494,,110,115,383
117.7419355,358.1560284,,115,120,326
122.7272727,315.6028369,,120,125,293
127.4193548,273.0496454,,125,130,251
132.6979472,244.6808511,,130,135,222
137.3900293,211.5839243,,135,140,194
142.6686217,187.9432624,,140,145,170
147.6539589,164.3026005,,145,150,151
152.3460411,187.9432624,,150,155,137
157.3313783,131.2056738,,155,160,123
162.3167155,112.2931442,,160,165,104
167.3020528,98.10874704,,165,170,90
172.5806452,83.92434988,,170,175,76
177.5659824,74.46808511,,175,180,71
182.5513196,74.46808511,,180,185,66
187.2434018,60.28368794,,185,190,52
192.5219941,55.55555556,,190,195,47
197.2140762,547.2813239,,195,200,487
2.785923754,50.82742317,,,,
7.771260997,135.9338061,,,,
12.75659824,192.6713948,,,,
17.74193548,254.1371158,,,,
22.72727273,273.0496454,,,,
27.71260997,268.321513,,,,
32.40469208,249.4089835,,,,
37.09677419,244.6808511,,,,
42.37536657,221.0401891,,,,
47.36070381,187.9432624,,,,
52.63929619,183.21513,,,,
57.03812317,150.1182033,,,,
62.31671554,135.9338061,,,,
67.30205279,117.0212766,,,,
72.58064516,102.8368794,,,,
76.97947214,98.10874704,,,,
82.25806452,79.19621749,,,,
87.53665689,69.73995272,,,,
92.228739,60.28368794,,,,
97.50733138,50.82742317,,,,
102.7859238,46.09929078,,,,
107.1847507,36.643026,,,,
112.170088,36.643026,,,,
117.1554252,31.91489362,,,,
122.7272727,22.45862884,,,,
126.5395894,22.45862884,,,,
131.8181818,22.45862884,,,,
136.8035191,17.73049645,,,,
141.7888563,17.73049645,,,,
147.0674487,13.00236407,,,,
152.3460411,50.82742317,,,,
157.0381232,8.274231678,,,,
162.6099707,8.274231678,,,,
167.0087977,8.274231678,,,,
172.5806452,8.274231678,,,,
177.2727273,3.546099291,,,,
182.5513196,8.274231678,,,,
186.9501466,8.274231678,,,,
192.5219941,8.274231678,,,,
197.2140762,60.28368794,,,,
