GeV,Events,,Invervals,,Events
30.32786885,4.87804878,,25,36.97916667,0
41.80327869,4.87804878,,36.97916667,48.95833333,0
53.27868852,4.87804878,,48.95833333,60.9375,0
66.39344262,27.64227642,,60.9375,72.91666667,20
76.2295082,66.66666667,,72.91666667,84.89583333,46
90.98360656,141.4634146,,84.89583333,96.875,111
102.4590164,281.300813,,96.875,108.8541667,234
114.7540984,466.6666667,,108.8541667,120.8333333,407
126.2295082,674.796748,,120.8333333,132.8125,598
138.5245902,889.4308943,,132.8125,144.7916667,803
150.8196721,1104.065041,,144.7916667,156.7708333,1024
161.4754098,1289.430894,,156.7708333,168.75,1203
173.7704918,1217.886179,,168.75,180.7291667,1141
186.0655738,873.1707317,,180.7291667,192.7083333,797
198.3606557,590.2439024,,192.7083333,204.6875,527
211.4754098,463.4146341,,204.6875,216.6666667,403
221.3114754,395.1219512,,216.6666667,228.6458333,335
233.6065574,336.5853659,,228.6458333,240.625,286
245.9016393,291.0569106,,240.625,252.6041667,247
258.1967213,261.7886179,,252.6041667,264.5833333,218
269.6721311,226.0162602,,264.5833333,276.5625,192
281.147541,206.504065,,276.5625,288.5416667,169
293.442623,183.7398374,,288.5416667,300.5208333,150
305.7377049,157.7235772,,300.5208333,312.5,127
318.0327869,138.2113821,,312.5,324.4791667,111
329.5081967,125.203252,,324.4791667,336.4583333,101
341.8032787,115.4471545,,336.4583333,348.4375,91
354.0983607,99.18699187,,348.4375,360.4166667,81
365.5737705,95.93495935,,360.4166667,372.3958333,75
378.6885246,82.92682927,,372.3958333,384.375,65
389.3442623,79.67479675,,384.375,396.3541667,59
403.2786885,73.17073171,,396.3541667,408.3333333,55
413.1147541,66.66666667,,408.3333333,420.3125,49
426.2295082,63.41463415,,420.3125,432.2916667,49
437.704918,56.91056911,,432.2916667,444.2708333,46
450,47.15447154,,444.2708333,456.25,33
463.1147541,47.15447154,,456.25,468.2291667,33
473.7704918,40.6504065,,468.2291667,480.2083333,36
485.2459016,37.39837398,,480.2083333,492.1875,33
499.1803279,37.39837398,,492.1875,504.1666667,36
510.6557377,30.89430894,,504.1666667,516.1458333,26
521.3114754,27.64227642,,516.1458333,528.125,23
535.2459016,27.64227642,,528.125,540.1041667,23
546.7213115,24.3902439,,540.1041667,552.0833333,20
557.3770492,24.3902439,,552.0833333,564.0625,20
572.1311475,21.13821138,,564.0625,576.0416667,20
585.2459016,14.63414634,,576.0416667,588.0208333,0
594.2622951,281.300813,,588.0208333,600,202
30.32786885,4.87804878,,,,
41.80327869,4.87804878,,,,
53.27868852,4.87804878,,,,
61.47540984,8.130081301,,,,
79.50819672,21.13821138,,,,
90.16393443,30.89430894,,,,
102.4590164,47.15447154,,,,
113.1147541,60.16260163,,,,
125.4098361,76.42276423,,,,
137.704918,86.17886179,,,,
151.6393443,79.67479675,,,,
159.8360656,86.17886179,,,,
174.5901639,76.42276423,,,,
184.4262295,76.42276423,,,,
197.5409836,63.41463415,,,,
210.6557377,60.16260163,,,,
220.4918033,60.16260163,,,,
235.2459016,50.40650407,,,,
245.0819672,43.90243902,,,,
257.3770492,43.90243902,,,,
268.0327869,34.14634146,,,,
280.3278689,37.39837398,,,,
292.6229508,34.14634146,,,,
304.0983607,30.89430894,,,,
318.0327869,27.64227642,,,,
327.8688525,24.3902439,,,,
340.9836066,24.3902439,,,,
353.2786885,17.88617886,,,,
364.7540984,21.13821138,,,,
377.8688525,17.88617886,,,,
388.5245902,21.13821138,,,,
400.8196721,17.88617886,,,,
411.4754098,17.88617886,,,,
427.0491803,14.63414634,,,,
436.8852459,11.38211382,,,,
450.8196721,14.63414634,,,,
463.9344262,14.63414634,,,,
477.0491803,4.87804878,,,,
486.8852459,4.87804878,,,,
499.1803279,1.62601626,,,,
509.0163934,4.87804878,,,,
522.1311475,4.87804878,,,,
540.1639344,4.87804878,,,,
550.8196721,4.87804878,,,,
562.295082,4.87804878,,,,
576.2295082,1.62601626,,,,
585.2459016,14.63414634,,,,
594.2622951,79.67479675,,,,
