GeV,Events,,Invervals,,Events
90.84249084,37.70491803,,85,96.97674419,33
103.2967033,281.147541,,96.97674419,108.9534884,218
114.2857143,568.852459,,108.9534884,120.9302326,461
126.7399267,812.295082,,120.9302326,132.9069767,682
139.1941392,1037.295082,,132.9069767,144.8837209,904
149.4505495,1258.606557,,144.8837209,156.8604651,1132
161.9047619,1420.901639,,156.8604651,168.8372093,1295
175.0915751,1343.442623,,168.8372093,180.8139535,1239
186.8131868,1074.180328,,180.8139535,192.7906977,977
198.5347985,801.2295082,,192.7906977,204.7674419,723
210.989011,598.3606557,,204.7674419,216.744186,539
222.7106227,450.8196721,,216.744186,228.7209302,398
233.6996337,358.6065574,,228.7209302,240.6976744,314
246.8864469,277.4590164,,240.6976744,252.6744186,240
258.6080586,218.442623,,252.6744186,264.6511628,184
270.3296703,177.8688525,,264.6511628,276.627907,151
282.0512821,144.6721311,,276.627907,288.6046512,122
294.5054945,115.1639344,,288.6046512,300.5813953,96
306.2271062,96.72131148,,300.5813953,312.5581395,81
317.9487179,81.96721311,,312.5581395,324.5348837,66
329.6703297,67.21311475,,324.5348837,336.5116279,52
342.1245421,56.14754098,,336.5116279,348.4883721,44
354.5787546,48.7704918,,348.4883721,360.4651163,37
366.3003663,41.39344262,,360.4651163,372.4418605,33
378.021978,34.01639344,,372.4418605,384.4186047,30
389.7435897,30.32786885,,384.4186047,396.3953488,30
402.9304029,26.63934426,,396.3953488,408.372093,26
414.6520147,22.95081967,,408.372093,420.3488372,22
425.6410256,0.8196721311,,420.3488372,432.3255814,0
438.0952381,11.8852459,,432.3255814,444.3023256,0
449.8168498,11.8852459,,444.3023256,456.2790698,0
461.5384615,4.508196721,,456.2790698,468.255814,0
473.2600733,8.196721311,,468.255814,480.2325581,0
484.2490842,8.196721311,,480.2325581,492.2093023,0
497.4358974,11.8852459,,492.2093023,504.1860465,0
509.8901099,8.196721311,,504.1860465,516.1627907,0
521.6117216,4.508196721,,516.1627907,528.1395349,0
534.0659341,4.508196721,,528.1395349,540.1162791,0
545.7875458,0.8196721311,,540.1162791,552.0930233,0
558.2417582,4.508196721,,552.0930233,564.0697674,0
567.032967,-2.868852459,,564.0697674,576.0465116,0
577.2893773,0.8196721311,,576.0465116,588.0232558,0
593.4065934,85.6557377,,588.0232558,600,52
90.84249084,4.508196721,,,,
102.5641026,63.52459016,,,,
113.5531136,107.7868852,,,,
126.007326,129.9180328,,,,
137.7289377,133.6065574,,,,
149.4505495,126.2295082,,,,
161.9047619,126.2295082,,,,
174.3589744,104.0983607,,,,
185.3479853,96.72131148,,,,
197.8021978,78.27868852,,,,
208.7912088,59.83606557,,,,
220.5128205,52.45901639,,,,
232.967033,45.08196721,,,,
246.1538462,37.70491803,,,,
257.1428571,34.01639344,,,,
268.1318681,26.63934426,,,,
281.3186813,22.95081967,,,,
294.5054945,19.26229508,,,,
305.4945055,15.57377049,,,,
317.9487179,15.57377049,,,,
329.6703297,15.57377049,,,,
342.8571429,11.8852459,,,,
355.3113553,11.8852459,,,,
367.032967,8.196721311,,,,
378.021978,4.508196721,,,,
390.4761905,0.8196721311,,,,
404.3956044,0.8196721311,,,,
415.3846154,0.8196721311,,,,
425.6410256,0.8196721311,,,,
438.0952381,11.8852459,,,,
449.8168498,11.8852459,,,,
461.5384615,4.508196721,,,,
473.2600733,8.196721311,,,,
484.2490842,8.196721311,,,,
497.4358974,11.8852459,,,,
509.8901099,8.196721311,,,,
521.6117216,4.508196721,,,,
534.0659341,4.508196721,,,,
545.7875458,0.8196721311,,,,
558.2417582,4.508196721,,,,
567.032967,-2.868852459,,,,
577.2893773,0.8196721311,,,,
592.6739927,34.01639344,,,,
