GeV,Events,,Interval,,Events
281.7460317,83.67346939,,225,345,67
384.9206349,368.3673469,,345,425,331
464.2857143,393.877551,,425,500,355
547.6190476,289.7959184,,500,600,258
642.8571429,184.6938776,,600,685,160
742.0634921,109.1836735,,685,790,93
853.1746032,62.24489796,,790,900,51
976.1904762,33.67346939,,900,1050,27
1111.111111,18.36734694,,1050,1175,13
1250,10.20408163,,1175,1325,8
2162.698413,3.06122449,,1325,3000,0
289.6825397,16.32653061,,,,
384.9206349,37.75510204,,,,
456.3492063,38.7755102,,,,
551.5873016,31.63265306,,,,
638.8888889,24.48979592,,,,
742.0634921,16.32653061,,,,
857.1428571,11.2244898,,,,
972.2222222,7.142857143,,,,
1107.142857,5.102040816,,,,
1261.904762,2.040816327,,,,
2119.047619,3.06122449,,,,
