pt,Events,,Interval,,Events
312.596401,93.26039387,,300,325,79
337.2750643,70.41575492,,325,350,59
364.0102828,53.87308534,,350,375,44
386.6323907,40.21881838,,375,400,33
412.3393316,30.24070022,,400,425,24
438.0462725,23.41356674,,425,450,18
461.6966581,17.37417943,,450,475,14
487.403599,13.17286652,,475,500,11
524.4215938,8.971553611,,500,550,7
574.8071979,5.295404814,,550,600,4
649.8714653,2.932166302,,600,700,2
749.6143959,1.619256018,,700,800,0
851.4138817,1.094091904,,800,900,0
950.1285347,0.8315098468,,900,1000,0
313.6246787,14.48577681,,,,
339.3316195,11.07221007,,,,
364.0102828,9.496717724,,,,
387.6606684,7.133479212,,,,
414.3958869,5.820568928,,,,
439.0745501,5.032822757,,,,
462.7249357,3.719912473,,,,
487.403599,2.669584245,,,,
525.4498715,2.407002188,,,,
574.8071979,1.619256018,,,,
647.81491,0.8315098468,,,,
749.6143959,1.619256018,,,,
851.4138817,1.094091904,,,,
950.1285347,0.8315098468,,,,
